datetime	open	high	low	close	volume	open_interest
18-07-2025 09:15	151.15	164.9	151.15	155.75	1026675	3418800
18-07-2025 09:16	156.45	168	156.45	167.2	1016925	3418800
18-07-2025 09:17	166.6	173.9	164.85	171.25	1215900	3418800
18-07-2025 09:18	171.5	173.75	167	169.4	651150	4031625
18-07-2025 09:19	169.75	173.8	168.2	172.75	571125	4031625
18-07-2025 09:20	172.6	175	168	170.5	494700	4031625
18-07-2025 09:21	170.7	177.5	167.7	172.1	700950	4277175
18-07-2025 09:22	172.65	174.6	169.8	173.25	429900	4277175
18-07-2025 09:23	173.3	175.95	171.55	172.25	260550	4277175
18-07-2025 09:24	172.1	178.55	172.1	175.65	598425	4285800
18-07-2025 09:25	175.35	181.5	173.9	179.15	683850	4285800
18-07-2025 09:26	179.6	183.4	178.4	182.85	577200	4285800
18-07-2025 09:27	182.9	184.9	181.05	183.75	511575	3980325
18-07-2025 09:28	183	184	178.8	180.4	382950	3980325
18-07-2025 09:29	180.75	182.45	177.5	180.6	262800	3980325
18-07-2025 09:30	180.45	180.45	176	177	242250	4051800
18-07-2025 09:31	177.8	179.6	175.5	176.6	181500	4051800
18-07-2025 09:32	175.8	178.4	174.55	174.6	220125	4051800
18-07-2025 09:33	174.65	176.4	173.05	175	226650	4168650
18-07-2025 09:34	175.25	177	173	174.45	201300	4168650
18-07-2025 09:35	174.75	179.7	174.75	176.2	298950	4168650
18-07-2025 09:36	176.4	176.4	173.35	175.15	177225	4294875
18-07-2025 09:37	175.2	176.7	173.85	174.35	131400	4294875
18-07-2025 09:38	174.2	174.75	168.6	170.5	405525	4294875
18-07-2025 09:39	170.9	176.65	170.3	175.3	228750	4271025
18-07-2025 09:40	175	180.8	174	180.5	450000	4271025
18-07-2025 09:41	180.5	181.35	179.15	180.8	348525	4271025
18-07-2025 09:42	180.4	186.85	180.05	186.65	785925	4280250
18-07-2025 09:43	187.05	191.05	186.55	191.05	944325	4280250
18-07-2025 09:44	191.15	191.75	187.6	190.25	438300	4280250
18-07-2025 09:45	190.5	196.25	190.15	195	674175	4439925
18-07-2025 09:46	194.55	196	190.6	191.2	350400	4439925
18-07-2025 09:47	191.75	198.6	191.1	198.6	329775	4439925
18-07-2025 09:48	198.9	202	196.5	199.4	679875	4104150
18-07-2025 09:49	199.5	200.4	196.6	196.9	267900	4104150
18-07-2025 09:50	197.65	200	195.45	199.4	245625	4104150
18-07-2025 09:51	199.65	199.75	192.3	194.25	240825	3997425
18-07-2025 09:52	194.2	196	192.15	192.15	176550	3997425
18-07-2025 09:53	191.45	192.45	188.85	190.3	310200	3997425
18-07-2025 09:54	190.85	195	190.35	193.75	155250	3967650
18-07-2025 09:55	193.8	194.9	192	193.05	111750	3967650
18-07-2025 09:56	193.05	194.9	191.6	193.9	68625	3967650
18-07-2025 09:57	194.3	196.5	192.4	194.95	136575	4016400
18-07-2025 09:58	194.85	196.35	194.35	195.95	95175	4016400
18-07-2025 09:59	195.65	196.35	192.3	194.55	128325	4016400
18-07-2025 10:00	194.6	200.55	194.6	199.4	396225	4001925
18-07-2025 10:01	199.95	208.6	199.8	208.05	665175	4001925
18-07-2025 10:02	208.15	211.95	207	208.5	564300	4001925
18-07-2025 10:03	208.55	208.55	203.3	204.35	241425	3678825
18-07-2025 10:04	204.35	207.25	203.8	207.25	124350	3678825
18-07-2025 10:05	206.9	210.5	206	206.7	265425	3678825
18-07-2025 10:06	206.45	215.75	206.4	214	409200	3633225
18-07-2025 10:07	214.85	215.3	207.9	209.2	225675	3633225
18-07-2025 10:08	209.15	211.75	208.2	211.1	95625	3633225
18-07-2025 10:09	211.8	212.15	209.15	211.65	121950	3619125
18-07-2025 10:10	212.05	218	211.55	216.25	198900	3619125
18-07-2025 10:11	215.9	217.5	213.5	213.6	238200	3619125
18-07-2025 10:12	213.85	219.75	213	219.75	234750	3575850
18-07-2025 10:13	219.7	220.85	215.6	215.6	325950	3575850
18-07-2025 10:14	215.9	218.5	213.35	218.5	112875	3575850
18-07-2025 10:15	217.55	233.2	217.55	233.05	515175	3419100
18-07-2025 10:16	233.15	250.45	233.15	250.45	630150	3419100
18-07-2025 10:17	249.25	261.85	247.25	261.85	482400	3419100
18-07-2025 10:18	261.2	274.95	260.05	267.75	430125	3204975
18-07-2025 10:19	268.2	276	265.15	269.9	353100	3204975
18-07-2025 10:20	270.65	283.25	270.65	280.8	341325	3204975
18-07-2025 10:21	280.2	283.55	267.3	270	252975	3200100
18-07-2025 10:22	270	271.2	265.3	269.7	167550	3200100
18-07-2025 10:23	271	271.15	260	260	145125	3200100
18-07-2025 10:24	260	265.25	259.3	260.8	135600	3154950
18-07-2025 10:25	261.4	264.4	258.1	262.5	74250	3154950
18-07-2025 10:26	260.9	265	259.4	263.9	54675	3154950
18-07-2025 10:27	263	267.85	262.1	263.65	91800	3184050
18-07-2025 10:28	263.25	270.65	263.25	268.35	108225	3184050
18-07-2025 10:29	268.35	270.6	265.05	270.6	53775	3184050
18-07-2025 10:30	270.65	285	270.55	283.6	374250	3195375
